Rank,City,State,RecentCensus,Census,Percentage_change,Land_area,Population_density,Longitude,Latitude
68,Greensboro,North Carolina,"287,027","269,666",6.44%,128.3 sq mi,2237,36.1,79.83
69,Plano,Texas,"286,057","259,841",10.09%,71.7 sq mi,3990,33.05,96.75
70,Newark,New Jersey,"281,764","277,140",1.67%,24.1 sq mi,11691,40.72,74.17
71,Lincoln,Nebraska,"280,364","258,379",8.51%,92.1 sq mi,3044,40.81,96.68
72,Toledo,Ohio,"278,508","287,208",_3.03%,80.7 sq mi,3451,41.66,83.58
73,Orlando,Florida,"277,173","238,300",16.31%,105.2 sq mi,2635,28.42,81.27
74,Chula Vista,California,"267,172","243,916",9.53%,49.6 sq mi,5387,32.63,117.02
75,Irvine,California,"266,122","212,375",25.31%,65.6 sq mi,4057,33.68,117.77
76,Fort Wayne,Indiana,"264,488","253,691",4.26%,110.6 sq mi,2391,41.09,85.14
77,Jersey City,New Jersey,"264,152","247,597",6.69%,14.8 sq mi,17848,40.71,74.06
78,Durham,North Carolina,"263,016","228,330",15.19%,109.8 sq mi,2395,35.98,78.9
79,St. Petersburg,Florida,"260,999","244,769",6.63%,61.8 sq mi,4223,27.76,82.64
80,Laredo,Texas,"257,156","236,091",8.92%,101.1 sq mi,2544,27.56,99.49
81,Buffalo,New York,"256,902","261,310",_1.69%,40.4 sq mi,6359,42.89,78.86
82,Madison,Wisconsin,"252,551","233,209",8.29%,77.0 sq mi,3280,43.09,89.43
83,Lubbock,Texas,"252,506","229,573",9.99%,124.6 sq mi,2027,33.57,101.89
84,Chandler,Arizona,"247,477","236,123",4.81%,64.9 sq mi,3813,33.28,111.85
85,Scottsdale,Arizona,"246,645","217,385",13.46%,183.9 sq mi,1341,33.68,111.86
86,Glendale,Arizona,"245,895","226,721",8.46%,59.1 sq mi,4161,33.53,112.19
87,Reno,Nevada,"245,255","225,221",8.90%,107.3 sq mi,2286,39.55,119.85
88,Norfolk,Virginia,"245,115","242,803",0.95%,53.3 sq mi,4599,36.92,76.24
89,Winston_Salem,North Carolina,"242,203","229,617",5.48%,132.5 sq mi,1828,36.1,80.26
90,North Las Vegas,Nevada,"238,702","216,961",10.02%,98.0 sq mi,2436,36.29,115.09
91,Irving,Texas,"238,289","216,290",10.17%,67.0 sq mi,3557,32.86,96.97
92,Chesapeake,Virginia,"237,940","222,209",7.08%,338.5 sq mi,703,36.68,76.3
93,Gilbert,Arizona,"237,133","208,453",13.76%,68.0 sq mi,3487,33.31,111.74
94,Hialeah,Florida,"236,387","224,669",5.22%,21.5 sq mi,10995,25.87,80.3
95,Garland,Texas,"234,943","226,876",3.56%,57.0 sq mi,4122,32.91,96.63
96,Fremont,California,"233,136","214,089",8.90%,77.5 sq mi,3008,37.49,121.94
97,Baton Rouge,Louisiana,"227,715","229,493",_0.77%,85.9 sq mi,2651,30.44,91.13
98,Richmond,Virginia,"223,170","204,214",9.28%,59.8 sq mi,3732,37.53,77.48
99,Boise,Idaho,"223,154","205,671",8.50%,82.1 sq mi,2718,43.6,116.23
100,San Bernardino,California,"216,239","209,924",3.01%,61.5 sq mi,3516,34.14,117.29
101,Spokane,Washington,"215,973","208,916",3.38%,68.7 sq mi,3144,47.67,117.43
102,Des Moines,Iowa,"215,472","203,433",5.92%,88.9 sq mi,2424,41.57,93.61
103,Modesto,California,"212,175","201,165",5.47%,43.0 sq mi,4934,37.64,121
104,Birmingham,Alabama,"212,157","212,237",_0.04%,146.1 sq mi,1452,33.53,86.8
105,Tacoma,Washington,"211,277","198,397",6.49%,49.7 sq mi,4251,47.25,122.46
106,Fontana,California,"209,665","196,069",6.93%,43.0 sq mi,4876,34.11,117.46
107,Rochester,New York,"208,880","210,565",_0.80%,35.8 sq mi,5835,43.17,77.62
108,Oxnard,California,"207,906","197,899",5.06%,26.9 sq mi,7729,34.2,119.2
109,Moreno Valley,California,"205,499","193,365",6.28%,51.3 sq mi,4006,33.92,117.21
110,Fayetteville,North Carolina,"204,759","200,564",2.09%,147.7 sq mi,1386,35.08,78.97
111,Aurora,Illinois,"201,110","197,899",1.62%,44.9 sq mi,4479,41.76,88.29
112,Glendale,California,"200,831","191,719",4.75%,30.4 sq mi,6606,34.18,118.25
113,Yonkers,New York,"200,807","195,976",2.47%,18.0 sq mi,11156,40.95,73.87
114,Huntington Beach,California,"200,652","189,992",5.61%,26.9 sq mi,7459,33.69,118.01
115,Montgomery,Alabama,"200,022","205,764",_2.79%,159.8 sq mi,1252,32.35,86.27
116,Amarillo,Texas,"199,582","190,695",4.66%,101.4 sq mi,1968,35.2,101.83
117,Little Rock,Arkansas,"198,541","193,524",2.59%,118.7 sq mi,1673,34.73,92.36
118,Akron,Ohio,"197,633","199,110",_0.74%,62.0 sq mi,3188,41.08,81.52
